title,year,rating,no_of_reviews,genres,runtime,gross
Angelito San Miguel at Ang Mga Batang City Jail,1991.0,9.8,13,"
Action, Crime, Drama            ",107 min,
Thorn in the Center of the Heart (Sin Lai Guh Ling Bang Do),2021.0,9.7,13,"
Action            ",82 min,
Invisible Hacker,2023.0,9.6,21,"
Action, Sci-Fi            ",150 min,
Turning Mecard W: The Secret of Van dine - Special Edition,2018.0,9.6,8,"
Animation, Action, Adventure            ",76 min,
The Gods 2: The Dark Side,2023.0,9.6,58,"
Action, Crime, Thriller            ",124 min,
Hot Lead Hard Fury,2018.0,9.5,14,"
Action, Comedy            ",118 min,
Star War the Third Gathers: The Backstroke of the West,2010.0,9.4,29,"
Action, Comedy, Sci-Fi            ",140 min,
Prince of Eurasia,2022.0,9.4,61,"
Action, Biography, History            ",60 min,
Hank Is Evil: The Movie,2014.0,9.3,10,"
Action, Comedy, Mystery            ",76 min,
Manhandlers,2012.0,9.3,9,"
Action, Comedy            ",128 min,
Ramayana: The Legend of Prince Rama,1993.0,9.2,"9,173","
Animation, Action, Adventure            ",97 min,
The Stolen Valley,2022.0,9.2,40,"
Action, Western            ",105 min,
Animator vs. Animation V,2020.0,9.2,43,"
Animation, Action, Adventure            ",31 min,
Revenge Strategy,2016.0,9.2,20,"
Action, Crime, Mystery            ",95 min,
Fight!,2018.0,9.2,67,"
Action, Drama, Thriller            ",90 min,
Pinpoint,2022.0,9.2,32,"
Action, Adventure            ",99 min,
Time and Time Again,2013.0,9.2,115,"
Action, Adventure            ",95 min,
WWE: Paige - Iconic Matches,2019.0,9.2,10,"
Action, Sport            ",65 min,
Promise Chronicles - Manifestation,2022.0,9.2,12,"
Action, Adventure, Drama            ",160 min,
Black Widow: Forever Red Part 1 and 2,2021.0,9.2,12,"
Action, Mystery            ",50 min,
Code 0044,2016.0,9.2,5,"
Action, Crime, Drama            ",101 min,
A Group of Rapscallions Obsess Over A Mod Crafted (Lovingly) By Gerald,2022.0,9.1,7,"
Action, Adventure, Comedy            ",68 min,
The Iridescent,2021.0,9.1,7,"
Action, Crime            ",83 min,
The Dark Knight,2008.0,9.0,"2,706,558","
Action, Crime, Drama            ",152 min,$534.86M
The Lord of the Rings: The Return of the King,2003.0,9.0,"1,880,283","
Action, Adventure, Drama            ",201 min,$377.85M
Deck of Cards,2022.0,9.0,194,"
Action, Adventure, Comedy            ",45 min,
Deciphering Me,2015.0,9.0,42,"
Action, Drama            ",112 min,
Finding Purpose: The Road to Redemption,2019.0,9.0,123,"
Action, Adventure, Comedy            ",90 min,
The Somali Dervish,1983.0,9.0,15,"
Action, Drama, History            ",270 min,
Kaidi Ko Patra: A letter from Prisoner,2022.0,10.0,5,"
Crime, Drama, Mystery            ",130 min,
Tahanan (Home),2022.0,10.0,22,"
Drama, Romance            ",62 min,
Velocity Girl,2023.0,9.9,7,"
Drama, Romance            ",102 min,
Past Present Future,2014.0,9.8,7,"
Comedy, Drama, Romance            ",95 min,
Sing to Me Sylvie,2021.0,9.7,6,"
Drama, Music, Romance            ",104 min,
About him & her,2023.0,9.6,14,"
Romance            ",97 min,
Life of an Alpha Male,2021.0,9.6,21,"
Romance            ",150 min,
The Elixir of Love,2009.0,9.6,6,"
Comedy, Music, Romance            ",158 min,
Adam & the Water,2022.0,9.5,15,"
Drama, Fantasy, Romance            ",82 min,
Life of St. Paul Series,1949.0,9.5,8,"
Biography, Drama, History            ",360 min,
Peak Season,2023.0,9.4,10,"
Comedy, Drama, Romance            ",82 min,
Curiosity Killed the Cat,2012.0,9.4,16,"
Comedy, Drama, Romance            ",85 min,
Of Sound Mind,2015.0,9.4,8,"
Romance, Thriller            ",90 min,
Finding Your True Self,2022.0,9.3,8,"
Drama, Romance            ",82 min,
High Hopes 2: A New Beginning,2016.0,9.3,11,"
Comedy, Romance            ",60 min,
Tender Days,2021.0,9.3,7,"
Drama, Romance            ",95 min,
The Man Who Couldn't,2005.0,9.3,18,"
Romance            ",95 min,
Mustache,2023.0,9.2,31,"
Comedy, Drama, Family            ",81 min,
D Is for Detroit,2022.0,9.2,9,"
Drama, Romance, Thriller            ",95 min,
Friends of Luke,2022.0,9.2,5,"
Comedy, Drama, Romance            ",91 min,
Tiger Lily,2015.0,9.2,11,"
Drama, Family, Romance            ",60 min,
The Life After,2007.0,9.2,8,"
Drama, Romance            ",84 min,
My Culture,2019.0,9.2,16,"
Romance            ",73 min,
Lost in Manhattan: The Love Story of Hymie and Thelma,2015.0,9.2,6,"
Comedy, Romance            ",47 min,
Constant Angel,2013.0,9.2,16,"
Adventure, Drama, Romance            ",51 min,
Tu Hovein Main Hovan,2023.0,9.1,70,"
Drama, Family, Romance            ",113 min,
Gala & Godfrey,2016.0,9.1,19,"
Comedy, Drama, Romance            ",118 min,
Golden Lotus,2022.0,9.1,43,"
Drama, Musical, Romance            ",105 min,
The Hardest Thing to Earn,2015.0,9.1,11,"
Comedy, Crime, Drama            ",81 min,
La compagne des morts,2019.0,9.1,20,"
Drama, Fantasy, Mystery            ",72 min,
Nuvvante Pichhe,2021.0,9.1,106,"
Romance            ",102 min,
Sarah,2013.0,9.1,15,"
Drama, Romance, Thriller            ",71 min,
Charlie and Wendy,2015.0,9.1,17,"
Comedy, Drama, Romance            ",103 min,
Anyone You Want,2010.0,9.0,75,"
Romance            ",87 min,
Rubaru,2021.0,9.0,5,"
Drama, Romance            ",98 min,
Darbo d'Hubo - The Way of Love,2007.0,9.0,5,"
Drama, Romance            ",140 min,
LA Underground,2012.0,9.0,14,"
Comedy, Romance, Sport            ",50 min,
Mudita,2017.0,9.0,7,"
Drama, Music, Musical            ",140 min,
Raskal Love,2012.0,9.0,22,"
Action, Biography, Drama            ",90 min,
The Tale of a Pusher,2016.0,9.0,11,"
Action, Crime, Drama            ",96 min,
The Mike King Story Special Feature,1993.0,9.0,67,"
Action            ",51 min,
Roadkill,2022.0,8.9,29,"
Action, Drama, Thriller            ",93 min,
The Message,1976.0,8.9,"9,795","
Action, Adventure, Biography            ",207 min,
A Touch of Vengeance,2022.0,8.9,28,"
Action, Crime, Drama            ",62 min,
Super Mario Bros. Z 4K,2020.0,8.9,27,"
Animation, Action, Adventure            ",200 min,
The Thundering 8th,2000.0,8.9,85,"
Action, Drama, Romance            ",100 min,
Revenge of the Dudek,2021.0,8.9,16,"
Action, Adventure, Fantasy            ",102 min,
Ang pumatay ng dahil sa iyo,1989.0,8.9,44,"
Action            ",90 min,
Tragedy of a Mother and Son,2012.0,8.9,30,"
Action, Drama, Family            ",90 min,
Jayden Tries: The Fight 4 All Reality,2022.0,8.9,17,"
Action            ",55 min,
Siege at Desert Pass,2017.0,8.9,14,"
Action            ",48 min,
A Working Title,2017.0,8.9,16,"
Action, Drama, Romance            ",115 min,
Bare Knuckle,2014.0,8.9,20,"
Action, Drama            ",70 min,
Inception,2010.0,8.8,"2,402,450","
Action, Adventure, Sci-Fi            ",148 min,$292.58M
The Lord of the Rings: The Fellowship of the Ring,2001.0,8.8,"1,909,192","
Action, Adventure, Drama            ",178 min,$315.54M
The Lord of the Rings: The Two Towers,2002.0,8.8,"1,697,418","
Action, Adventure, Drama            ",179 min,$342.55M
Kill Bill: The Whole Bloody Affair,2006.0,8.8,"13,910","
Action, Crime, Thriller            ",247 min,
Lemon man vs the Multiverse,2023.0,8.8,9,"
Animation, Action, Sci-Fi            ",19 min,
Meta Runner Season 1 (Full Movie Cut),2020.0,8.8,20,"
Animation, Action, Adventure            ",124 min,
The Dark Knight: The Ballad of the N Word,2018.0,8.8,141,"
Action, Comedy, Crime            ",129 min,
Devil in Agbada,2021.0,8.8,68,"
Action            ",115 min,
Suspended Inspector Boro,2018.0,8.8,53,"
Action, Crime, Thriller            ",100 min,
Tranquility - An Independent Film,2021.0,8.8,18,"
Action, Drama, Mystery            ",70 min,
Bullet War Part 1 - Battle of Madness,2022.0,8.8,13,"
Animation, Action, Thriller            ",48 min,
Lego Minecraft Movie 3,2016.0,8.8,6,"
Animation, Action, Adventure            ",64 min,
